report_id,site_id,work_date,crew_size,manhours
1,SITE-A,2025-01-01,,
2,SITE-A,2025-01-02,27.0,201.3
3,SITE-A,2025-01-03,24.0,211.4
4,SITE-A,2025-01-04,20.0,136.8
5,SITE-A,2025-01-05,,
6,SITE-A,2025-01-06,22.0,176.0
7,SITE-A,2025-01-07,25.0,190.6
8,SITE-A,2025-01-08,20.0,172.0
9,SITE-A,2025-01-09,22.0,191.4
10,SITE-A,2025-01-10,25.0,188.8
11,SITE-A,2025-01-11,25.0,167.8
12,SITE-A,2025-01-12,,
13,SITE-A,2025-01-13,23.0,185.3
14,SITE-A,2025-01-14,22.0,182.0
15,SITE-A,2025-01-15,21.0,168.9
16,SITE-A,2025-01-16,22.0,179.4
17,SITE-A,2025-01-17,25.0,169.2
18,SITE-A,2025-01-18,19.0,168.3
19,SITE-A,2025-01-19,,
20,SITE-A,2025-01-20,27.0,248.2
21,SITE-A,2025-01-21,24.0,200.9
22,SITE-A,2025-01-22,19.0,152.4
23,SITE-A,2025-01-23,24.0,228.6
24,SITE-A,2025-01-24,20.0,163.2
25,SITE-A,2025-01-25,20.0,156.1
26,SITE-A,2025-01-26,,
27,SITE-A,2025-01-27,21.0,196.4
28,SITE-A,2025-01-28,,
29,SITE-A,2025-01-29,,
30,SITE-A,2025-01-30,,
31,SITE-A,2025-01-31,19.0,155.0
32,SITE-A,2025-02-01,20.0,158.9
33,SITE-A,2025-02-02,,
34,SITE-A,2025-02-03,26.0,172.8
35,SITE-A,2025-02-04,24.0,148.0
36,SITE-A,2025-02-05,19.0,154.4
37,SITE-A,2025-02-06,22.0,170.8
38,SITE-A,2025-02-07,25.0,216.4
39,SITE-A,2025-02-08,,
40,SITE-A,2025-02-09,,
41,SITE-A,2025-02-10,25.0,215.1
42,SITE-A,2025-02-11,23.0,193.4
43,SITE-A,2025-02-12,25.0,207.2
44,SITE-A,2025-02-13,25.0,216.4
45,SITE-A,2025-02-14,19.0,142.4
46,SITE-A,2025-02-15,26.0,225.8
47,SITE-A,2025-02-16,,
48,SITE-A,2025-02-17,22.0,188.9
49,SITE-A,2025-02-18,21.0,179.2
50,SITE-A,2025-02-19,24.0,189.9
51,SITE-A,2025-02-20,24.0,157.6
52,SITE-A,2025-02-21,22.0,141.9
53,SITE-A,2025-02-22,26.0,230.3
54,SITE-A,2025-02-23,,
55,SITE-A,2025-02-24,20.0,186.7
56,SITE-A,2025-02-25,26.0,218.5
57,SITE-A,2025-02-26,25.0,203.8
58,SITE-A,2025-02-27,21.0,188.9
59,SITE-A,2025-02-28,25.0,198.8
60,SITE-A,2025-03-01,,
61,SITE-A,2025-03-02,,
62,SITE-A,2025-03-03,24.0,194.7
63,SITE-A,2025-03-04,26.0,254.1
64,SITE-A,2025-03-05,26.0,237.8
65,SITE-A,2025-03-06,26.0,236.1
66,SITE-A,2025-03-07,23.0,202.9
67,SITE-A,2025-03-08,19.0,131.0
68,SITE-A,2025-03-09,,
69,SITE-A,2025-03-10,20.0,171.3
70,SITE-A,2025-03-11,,
71,SITE-A,2025-03-12,24.0,206.1
72,SITE-A,2025-03-13,24.0,213.6
73,SITE-A,2025-03-14,,
74,SITE-A,2025-03-15,27.0,244.0
75,SITE-A,2025-03-16,,
76,SITE-A,2025-03-17,21.0,157.9
77,SITE-A,2025-03-18,23.0,180.6
78,SITE-A,2025-03-19,23.0,190.6
79,SITE-A,2025-03-20,21.0,197.8
80,SITE-A,2025-03-21,25.0,179.8
81,SITE-A,2025-03-22,27.0,282.3
82,SITE-A,2025-03-23,,
83,SITE-A,2025-03-24,24.0,155.9
84,SITE-A,2025-03-25,20.0,159.1
85,SITE-A,2025-03-26,22.0,202.4
86,SITE-A,2025-03-27,22.0,182.1
87,SITE-A,2025-03-28,24.0,189.6
88,SITE-A,2025-03-29,21.0,127.7
89,SITE-A,2025-03-30,,
90,SITE-A,2025-03-31,25.0,185.6
91,SITE-A,2025-04-01,24.0,191.1
92,SITE-A,2025-04-02,26.0,232.6
93,SITE-A,2025-04-03,22.0,187.9
94,SITE-A,2025-04-04,23.0,196.5
95,SITE-A,2025-04-05,20.0,171.6
96,SITE-A,2025-04-06,,
97,SITE-A,2025-04-07,,
98,SITE-A,2025-04-08,20.0,167.6
99,SITE-A,2025-04-09,22.0,182.3
100,SITE-A,2025-04-10,19.0,154.8
101,SITE-A,2025-04-11,26.0,222.6
102,SITE-A,2025-04-12,24.0,200.0
103,SITE-A,2025-04-13,,
104,SITE-A,2025-04-14,27.0,273.5
105,SITE-A,2025-04-15,19.0,126.8
106,SITE-A,2025-04-16,26.0,229.6
