entry_id,contract_id,qty,unit_price_raw,amount_raw
70001,10070,"11,566",7330.8202,84788266
70002,10227,"42,529",7640.3700,324937296
70003,10175,"8,355",6301.7864,"  52,651,425  "
70004,10145,"52,139",1265.4798,"₩65,980,851"
70005,10014,"59,867",6211.1890,371845252
70006,10153,"35,136",1729.6668,"60,773,573.00"
70007,10118,"8,964",2190.2542,"19,633,439"
70008,10186,"41,533",2301.9181,"95,605,564"
70009,10004,"25,745",5716.7755,"KRW 147,178,385"
70010,10145,"43,432",7279.5320,"KRW 316,164,634"
70011,10394,"7,597",5198.7443,39494860
70012,10053,"25,163",7065.2822,177783696
70013,10166,"46,292",5382.2878,"₩249,156,867"
70014,10224,"43,968",2840.1109,"KRW 124,873,996"
70015,10231,"17,400",5884.2231,"₩102,385,482"
70016,10099,"32,369",277.4701,"(8,981,430.00)"
70017,10338,"24,680",6109.6889,"150,787,122"
70018,10372,"19,402",7599.0164,"  147,436,116  "
70019,10180,"25,236",3727.7564,94073661
70020,10073,"40,467",8274.6098,"334,848,635"
70021,10084,"5,974",2875.7503,17179732
70022,10016,"45,073",379.9859,"17,127,104"
70023,10034,"55,203",2769.5431,152887088
70024,10160,"35,440",4296.1320,"₩152,254,918"
70025,10352,"4,621",5535.4283,"₩25,579,214"
70026,10320,"37,635",618.0293,"  23,259,533  "
70027,10351,"6,943",4422.0226,"  30,702,103  "
70028,10070,"9,401",2301.1329,"21,632,950"
70029,10349,"20,386",2536.0505,"₩51,699,925"
70030,10042,"17,537",5698.9115,99941811
70031,10225,"52,698",3092.2216,"162,953,894.00"
70032,10062,"44,237",8329.1329,"(368,455,852)"
70033,10071,"58,958",7976.3122,"  470,267,415  "
70034,10113,"1,699",8763.1285,"  14,888,555  "
70035,10335,"7,006",2384.8433,"₩16,708,212"
70036,10065,"15,610",7872.8157,"122,894,653.00"
70037,10007,"48,359",3196.4116,154575269
70038,10362,"38,224",4414.9929,168758689
70039,10266,"6,414",1600.3904,"(10,264,904)"
70040,10045,"21,024",5412.0606,"₩113,783,162"
70041,10223,"40,010",8276.5354,"  331,144,181  "
70042,10310,"26,616",437.1454,"11,635,062"
70043,10370,"5,876",5024.3033,"  29,522,806  "
70044,10228,"41,852",1983.1699,"82,999,627.00"
70045,10149,"33,319",6231.3066,207620905
70046,10396,"45,725",813.9960,(37219967)
70047,10249,"42,831",5330.6050,"₩228,315,143"
70048,10172,"2,551",5714.3241,14577241
70049,10296,"50,644",7272.3034,"368,298,533"
70050,10030,"11,791",448.4543,"5,287,725"
70051,10318,"25,929",8056.1955,"208,889,093"
70052,10039,"14,819",4344.1766,64376353
70053,10266,"35,225",5609.4817,197593993
70054,10133,"39,110",1127.4035,
70055,10022,"22,856",1569.8854,"35,881,301"
70056,10304,"50,809",4468.6345,"227,046,850.00"
70057,10202,"6,141",2492.8611,"₩15,308,660"
70058,10028,"12,084",4259.3283,"51,469,723"
70059,10082,"48,720",2446.7213,"KRW 119,204,262"
70060,10163,"44,445",6510.5840,"₩289,362,906"
70061,10323,"17,315",3424.2358,"  59,290,643  "
70062,10112,"44,367",2049.1254,"90,913,547.00"
70063,10139,"55,053",8835.5419,"(486,423,088)"
70064,10272,"9,188",6131.8463,"(56,339,404)"
70065,10209,"36,218",8380.2578,(303516177)
70066,10037,"48,343",4782.6800,"KRW 231,209,099"
70067,10227,"52,836",1515.9042,80094314
70068,10085,"50,244",511.2281,"KRW 25,686,145"
70069,10053,"28,319",3754.6239,"106,327,194.00"
70070,10336,"3,542",8642.9195,"  30,613,221  "
70071,10283,"12,037",5969.4821,"71,854,656.00"
70072,10052,"7,464",177.3656,"KRW 1,323,857"
70073,10126,"13,874",1327.0919,"18,412,073.00"
70074,10279,"34,639",5984.0740,"207,282,339"
70075,10332,"37,690",2563.7198,"₩96,626,599"
70076,10271,"44,725",5521.0387,246928456
70077,10205,"58,093",7815.3404,"KRW 454,016,570"
70078,10358,"50,752",8923.8051,"₩452,900,956"
70079,10205,"15,709",6317.9810,99249164
70080,10161,"27,970",1565.1871,-
70081,10269,"29,010",1549.6122,44954250
70082,10345,"17,320",6831.3254,"₩118,318,556"
70083,10187,"45,131",667.7628,"KRW 30,136,803"
70084,10390,"59,590",2756.5642,"KRW 164,263,661"
70085,10031,"12,254",2218.4982,"₩27,185,477"
70086,10070,"37,565",6806.5404,255687690
70087,10102,"11,365",2411.5618,"  27,407,400  "
70088,10384,"20,503",599.2039,12285478
70089,10204,"20,998",8704.5144,"₩182,777,393"
70090,10390,"37,354",5766.6401,215407074
70091,10017,"14,459",7490.8151,"108,309,696.00"
70092,10344,"52,003",6785.3223,  
70093,10204,"40,346",2845.7501,"114,814,634"
70094,10309,"37,977",7165.3430,"₩272,118,231"
70095,10059,"47,634",7269.5109,"346,275,882.00"
70096,10050,"25,442",6588.7752,"167,631,619.00"
70097,10059,"30,662",5134.4910,"157,433,763"
70098,10069,"11,535",2988.6906,"34,474,546.00"
70099,10052,"47,534",6789.4725,322730786
70100,10276,"38,240",8740.1505,"334,223,355.00"
70101,10023,"7,504",7930.9875,N/A
70102,10062,"24,140",8254.4865,"KRW 199,263,304"
70103,10185,"4,781",484.4987,"  2,316,388  "
70104,10156,"51,503",7226.0154,372161471
70105,10228,"35,045",338.6105,"11,866,605.00"
70106,10175,"36,463",3847.2878,"₩140,283,655"
70107,10248,"55,817",4741.4494,"₩264,653,481"
70108,10284,"3,964",2952.3639,"KRW 11,703,170"
70109,10331,"51,639",6525.6764,"  336,979,404  "
70110,10235,"42,258",4578.8728,"193,494,007.00"
70111,10266,"55,858",4754.0613,265552356
70112,10190,"16,421",5037.7649,"  82,725,137  "
70113,10153,"18,715",8844.1259,"KRW 165,517,816"
70114,10216,"50,023",1966.9976,"(98,395,121)"
70115,10185,"25,674",2667.0524,"  68,473,903  "
70116,10378,"26,497",6560.7516,"₩173,840,235"
70117,10164,"39,797",5292.6613,"KRW 210,632,042"
70118,10347,"57,479",4352.0727,"₩250,152,787"
70119,10063,"33,451",5710.6948,"KRW 191,028,452"
70120,10212,"36,523",357.0562,"13,040,764.00"
70121,10256,"31,143",2025.6982,"63,086,319.00"
70122,10193,"45,378",180.9429,"KRW 8,210,827"
70123,10147,"50,571",3761.7068,"190,233,275.00"
70124,10008,"28,081",512.1398,"KRW 14,381,398"
70125,10370,"16,429",8774.7268,"₩144,159,987"
70126,10358,"25,387",4150.6680,"105,373,009"
70127,10341,"13,315",6149.7615,"81,884,074.00"
70128,10167,"46,109",8400.2238,387325919
70129,10303,"38,728",1911.9349,  
70130,10088,"58,698",509.1864,"₩29,888,223"
70131,10089,"58,466",8328.9275,"486,959,075.00"
70132,10164,"49,660",4956.0208,"KRW 246,115,993"
70133,10261,"37,380",5391.3555,"201,528,869"
70134,10284,"26,459",6398.8594,"  169,307,421  "
70135,10180,"40,312",1439.8141,"58,041,786.00"
70136,10125,"44,877",6210.9892,(278730562)
70137,10285,"22,314",880.4565,"KRW 19,646,506"
70138,10310,"16,710",6837.7484,"114,258,776"
70139,10207,"47,863",8716.6595,"417,205,474.00"
70140,10310,"24,726",6326.5957,"  156,431,405  "
70141,10388,"19,670",7450.5549,"146,552,415"
