entry_id,amount_true,unit_price_true,qty_true,recoverable
70001,84788266,7330.8202,11566,True
70002,324937296,7640.37,42529,True
70003,52651425,6301.7864,8355,True
70004,65980851,1265.4798,52139,True
70005,371845252,6211.189,59867,True
70006,60773573,1729.6668,35136,True
70007,19633439,2190.2542,8964,True
70008,95605564,2301.9181,41533,True
70009,147178385,5716.7755,25745,True
70010,316164634,7279.532,43432,True
70011,39494860,5198.7443,7597,True
70012,177783696,7065.2822,25163,True
70013,249156867,5382.2878,46292,True
70014,124873996,2840.1109,43968,True
70015,102385482,5884.2231,17400,True
70016,-8981430,277.4701,32369,True
70017,150787122,6109.6889,24680,True
70018,147436116,7599.0164,19402,True
70019,94073661,3727.7564,25236,True
70020,334848635,8274.6098,40467,True
70021,17179732,2875.7503,5974,True
70022,17127104,379.9859,45073,True
70023,152887088,2769.5431,55203,True
70024,152254918,4296.132,35440,True
70025,25579214,5535.4283,4621,True
70026,23259533,618.0293,37635,True
70027,30702103,4422.0226,6943,True
70028,21632950,2301.1329,9401,True
70029,51699925,2536.0505,20386,True
70030,99941811,5698.9115,17537,True
70031,162953894,3092.2216,52698,True
70032,-368455852,8329.1329,44237,True
70033,470267415,7976.3122,58958,True
70034,14888555,8763.1285,1699,True
70035,16708212,2384.8433,7006,True
70036,122894653,7872.8157,15610,True
70037,154575269,3196.4116,48359,True
70038,168758689,4414.9929,38224,True
70039,-10264904,1600.3904,6414,True
70040,113783162,5412.0606,21024,True
70041,331144181,8276.5354,40010,True
70042,11635062,437.1454,26616,True
70043,29522806,5024.3033,5876,True
70044,82999627,1983.1699,41852,True
70045,207620905,6231.3066,33319,True
70046,-37219967,813.996,45725,True
70047,228315143,5330.605,42831,True
70048,14577241,5714.3241,2551,True
70049,368298533,7272.3034,50644,True
70050,5287725,448.4543,11791,True
70051,208889093,8056.1955,25929,True
70052,64376353,4344.1766,14819,True
70053,197593993,5609.4817,35225,True
70054,44092751,1127.4035,39110,False
70055,35881301,1569.8854,22856,True
70056,227046850,4468.6345,50809,True
70057,15308660,2492.8611,6141,True
70058,51469723,4259.3283,12084,True
70059,119204262,2446.7213,48720,True
70060,289362906,6510.584,44445,True
70061,59290643,3424.2358,17315,True
70062,90913547,2049.1254,44367,True
70063,-486423088,8835.5419,55053,True
70064,-56339404,6131.8463,9188,True
70065,-303516177,8380.2578,36218,True
70066,231209099,4782.68,48343,True
70067,80094314,1515.9042,52836,True
70068,25686145,511.2281,50244,True
70069,106327194,3754.6239,28319,True
70070,30613221,8642.9195,3542,True
70071,71854656,5969.4821,12037,True
70072,1323857,177.3656,7464,True
70073,18412073,1327.0919,13874,True
70074,207282339,5984.074,34639,True
70075,96626599,2563.7198,37690,True
70076,246928456,5521.0387,44725,True
70077,454016570,7815.3404,58093,True
70078,452900956,8923.8051,50752,True
70079,99249164,6317.981,15709,True
70080,43778283,1565.1871,27970,False
70081,44954250,1549.6122,29010,True
70082,118318556,6831.3254,17320,True
70083,30136803,667.7628,45131,True
70084,164263661,2756.5642,59590,True
70085,27185477,2218.4982,12254,True
70086,255687690,6806.5404,37565,True
70087,27407400,2411.5618,11365,True
70088,12285478,599.2039,20503,True
70089,182777393,8704.5144,20998,True
70090,215407074,5766.6401,37354,True
70091,108309696,7490.8151,14459,True
70092,352857116,6785.3223,52003,False
70093,114814634,2845.7501,40346,True
70094,272118231,7165.343,37977,True
70095,346275882,7269.5109,47634,True
70096,167631619,6588.7752,25442,True
70097,157433763,5134.491,30662,True
70098,34474546,2988.6906,11535,True
70099,322730786,6789.4725,47534,True
70100,334223355,8740.1505,38240,True
70101,59514130,7930.9875,7504,False
