record_id,vendor_name_raw,business_no
60,(주)정우철강,309-37-94321
43,Seohae Tech Industrial,
8,(주)대한건설,
40,㈜서해기술산업,
68,삼호전기 주식회사,
6,  DaehanE&C,
70,우성설비,
73,  WOOSUNG PLUMBING,
79,Woosung Plumbing,
44,  Seohae Tech Industrial,
53,  (주)동보엔 지니어링 ,465-37-39825
9,Daehan E&C,273-73-22531
2,㈜대한건설,
77,우성설비,
28,  (주)한성이엔지 ,
25,대한 종합건설(주),
29,주식회사 한성이엔지,
57,jungwoo steel,
50,dongboengineering,
65,Samho Electric,340-96-29551
45,서해기술산업(주),
85,kl industrial,921-53-33749
80,KLIndustrial,
58,(주)정우철강,309-37-94321
69,주식회사 삼호전기,340-96-29551
72,Woosung Plumbing,
71,우성설비,
67,SAMHO ELECTRIC,
7,대한건설(주),
52,Dongbo Engineering,
18,  대한건설산업(주) ,
26,  주식회사 한성이엔지 ,
76,  주식회사 우성설비 ,
13,대한건설산업 주식회사,
30,한성이엔지,
46,Dongbo Engineering,465-37-39825
31,Hansung ENG,
23,(주)대한종합건 설,
22,㈜대한 종합건설,211-30-92269
59,  (주)정우철강 ,309-37-94321
42,Seohae Tech Industrial,
36,㈜서해기 술,309-19-34104
32,남광토건 주식회사,
84,케이엘산업 주식회사,
56,  jungwoo steel,
51,동보엔지니어링,
24,  ㈜대한종합건설 ,
3,daehane&c,
47,동보엔지니어링(주),465-37-39825
64,  ㈜삼호전기 ,
27,  한성이엔지(주) ,
19,(주)대한건설산업,
4,(주)대한건설,273-73-22531
35,  남광토건 주식회사 ,
63,삼호전기 주식회사,340-96-29551
82,케이엘산업(주),
10,대한건설(주),
39,주식회사 서해기술,
14,㈜대한건설산업,
75,WOOSUNG PLUMBING,
5,Daehan E&C,
12,대한건설산업(주),
41,  SEOHAETECHINDUSTRIAL,
61,정우철강,309-37-94321
21,  ㈜대한종합건설 ,
66,Samho Electric,
11,(주)대한건설산업,
78,주식회사 우성설비,
16,Daehan Industrial,
62,(주)정우철강,309-37-94321
1,대한건설,
38,서해기술,309-19-34104
48,동보 엔지니어링(주),465-37-39825
17,Daehan Industrial,601-64-56713
49,  동보엔지니어링(주) ,465-37-39825
33,남광토 건,
15,대한건설 산업 주식회사,
37,seohae technology,309-19-34104
74,주식회사 우성설비,
34,  Namkwang Construction,
20,  ㈜대한종합건설 ,
83,케이엘산업(주),921-53-33749
55,Jungwoo Steel,309-37-94321
81,케이엘산업 주식회사,
54,㈜동보엔지니어링,
