entry_id,contract_id,qty,unit_price_raw,amount_raw,amount,unit_price,line_total,entity_id,vendor_name,_unmatched
70001,10070,11566,7330.8202,84788266,84788266.0,7330.8202,84788266.0,7,WOOSUNG PLUMBING,False
70002,10227,42529,7640.3700,324937296,324937296.0,7640.37,324937296.0,11,kl industrial,False
70003,10175,8355,6301.7864,"  52,651,425  ",52651425.0,6301.7864,52651425.0,10,대한 종합건설(주),False
70004,10145,52139,1265.4798,"₩65,980,851",65980851.0,1265.4798,65980851.0,14,㈜서해기 술,False
70005,10014,59867,6211.1890,371845252,371845252.0,6211.189,371845252.0,2,Seohae Tech Industrial,False
70006,10153,35136,1729.6668,"60,773,573.00",60773573.0,1729.6668,60773573.0,5,삼호전기 주식회사,False
70007,10118,8964,2190.2542,"19,633,439",19633439.0,2190.2542,19633439.0,4,㈜서해기술산업,False
70008,10186,41533,2301.9181,"95,605,564",95605564.0,2301.9181,95605564.0,4,㈜서해기술산업,False
70009,10004,25745,5716.7755,"KRW 147,178,385",147178385.0,5716.7755,147178385.0,9,(주)한성이엔지,False
70010,10145,43432,7279.5320,"KRW 316,164,634",316164634.0,7279.532,316164634.0,14,㈜서해기 술,False
70011,10394,7597,5198.7443,39494860,39494860.0,5198.7443,39494860.0,8,(주)동보엔 지니어링,False
70012,10053,25163,7065.2822,177783696,177783696.0,7065.2822,177783696.0,7,WOOSUNG PLUMBING,False
70013,10166,46292,5382.2878,"₩249,156,867",249156867.0,5382.2878,249156867.0,1,(주)정우철강,False
70014,10224,43968,2840.1109,"KRW 124,873,996",124873996.0,2840.1109,124873996.0,8,(주)동보엔 지니어링,False
70015,10231,17400,5884.2231,"₩102,385,482",102385482.0,5884.2231,102385482.0,15,남광토건 주식회사,False
70016,10099,32369,277.4701,"(8,981,430.00)",-8981430.0,277.4701,8981430.0,2,Seohae Tech Industrial,False
70017,10338,24680,6109.6889,"150,787,122",150787122.0,6109.6889,150787122.0,3,(주)대한건설,False
70018,10372,19402,7599.0164,"  147,436,116  ",147436116.0,7599.0164,147436116.0,3,(주)대한건설,False
70019,10180,25236,3727.7564,94073661,94073661.0,3727.7564,94073661.0,15,남광토건 주식회사,False
70020,10073,40467,8274.6098,"334,848,635",334848635.0,8274.6098,334848635.0,10,대한 종합건설(주),False
70021,10084,5974,2875.7503,17179732,17179732.0,2875.7503,17179732.0,4,㈜서해기술산업,False
70022,10016,45073,379.9859,"17,127,104",17127104.0,379.9859,17127104.0,4,㈜서해기술산업,False
70023,10034,55203,2769.5431,152887088,152887088.0,2769.5431,152887088.0,5,삼호전기 주식회사,False
70024,10160,35440,4296.1320,"₩152,254,918",152254918.0,4296.132,152254918.0,12,대한건설산업(주),False
70025,10352,4621,5535.4283,"₩25,579,214",25579214.0,5535.4283,25579214.0,17,Namkwang Construction,False
70026,10320,37635,618.0293,"  23,259,533  ",23259533.0,618.0293,23259533.0,2,Seohae Tech Industrial,False
70027,10351,6943,4422.0226,"  30,702,103  ",30702103.0,4422.0226,30702103.0,16,Daehan Industrial,False
70028,10070,9401,2301.1329,"21,632,950",21632950.0,2301.1329,21632950.0,7,WOOSUNG PLUMBING,False
70029,10349,20386,2536.0505,"₩51,699,925",51699925.0,2536.0505,51699925.0,14,㈜서해기 술,False
70030,10042,17537,5698.9115,99941811,99941811.0,5698.9115,99941811.0,13,Hansung ENG,False
