entry_id,amount_raw,reason
70054,,amount not parseable
70080,-,amount not parseable
70092,  ,amount not parseable
70101,N/A,amount not parseable
70129,  ,amount not parseable
70166,,amount not parseable
70179,,amount not parseable
70188,N/A,amount not parseable
70208,TBD,amount not parseable
70228,  ,amount not parseable
70255,,amount not parseable
70297,TBD,amount not parseable
70331,  ,amount not parseable
70334,-,amount not parseable
70336,  ,amount not parseable
70391,TBD,amount not parseable
70445,,amount not parseable
70450,,amount not parseable
70473,TBD,amount not parseable
70513,-,amount not parseable
70514,N/A,amount not parseable
70563,-,amount not parseable
70565,,amount not parseable
70596,,amount not parseable
